,Unnamed: 0,id,referringVisitId,transition,visitId,visitTime,title,lastVisitTime,typedCount,url,visitCount,visitTimeDate,lastVisitTimeDate,thumbnail,description,2d_x,2d_y,3d_x,3d_y,3d_z
54,5340,106128,317207,link,317673,1665231591757.078,6.8611 Quant Methods for NLP,1665674226948.937,0,https://canvas.mit.edu/courses/16573,24,2022-10-08 12:19:51.757077760,2022-10-13 15:17:06.948936960,,6.8611 Quant Methods for NLP,-1.7908908,10.932703,5.0350943,-7.1136026,-19.728628
55,5353,100665,317657,link,317660,1665231072904.777,Container Space,1665231072904.777,6,https://container-space.co/,24,2022-10-08 12:11:12.904777216,2022-10-08 12:11:12.904777216,latentlab2.gif,Container Space,30.242958,-3.6300082,16.245987,-2.7344856,11.497807
56,956,104389,322361,link,322362,1665693475670.865,CMS.405 Visual Design,1665694428559.713,0,https://canvas.mit.edu/courses/16836,24,2022-10-13 20:37:55.670864896,2022-10-13 20:53:48.559712768,,CMS.405 Visual Design,-0.48257726,5.180651,6.841883,-11.289002,-15.171503
57,4433,5222,318642,link,318646,1665259966850.101,New Albums & Music Reviews | Pitchfork,1665259966850.101,0,https://pitchfork.com/reviews/albums/,24,2022-10-08 20:12:46.850100992,2022-10-08 20:12:46.850100992,https://media.pitchfork.com/photos/62c64ec74807e30a5dfd2fde/1:1/w_160/1975%20-%20Being%20Funny%20In%20A%20Foreign%20Language.jpg,New Albums & Music Reviews | Pitchfork,-18.55235,33.21136,-7.4901958,22.131582,-17.701885
58,3963,106406,0,typed,319162,1665446677493.839,7.012 Dashboard | Gradescope,1665748033027.586,16,https://www.gradescope.com/courses/414685,24,2022-10-11 00:04:37.493839104,2022-10-14 11:47:13.027586048,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,7.012 Dashboard | Gradescope,2.5278347,9.34437,7.3090167,-4.042847,-10.912372
59,2437,105026,320765,link,320766,1665583806541.2358,Course Modules: 7.012 Introductory Biology - Fall 2022,1665583806541.2358,0,https://canvas.mit.edu/courses/16698/modules,23,2022-10-12 14:10:06.541235712,2022-10-12 14:10:06.541235712,images/LogoCanvas_0.png,Course Modules: 7.012 Introductory Biology - Fall 2022,-7.769865,13.2525625,2.5680392,0.4437861,-24.926859
60,5448,105073,317563,reload,317565,1665228366651.597,Info | Trudy Painter,1665228366651.597,0,http://127.0.0.1:4000/portfolio-trudypainter/info/,23,2022-10-08 11:26:06.651596800,2022-10-08 11:26:06.651596800,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Info | Trudy Painter,16.994032,23.959183,14.299441,6.4442134,-13.562342
61,5784,8442,0,typed,317214,1665172839106.019,alexis (@urcitygurlbestie) TikTok | Watch alexis's Newest TikTok Videos,1665172839106.019,21,https://www.tiktok.com/@urcitygurlbestie?is_copy_url=1&is_from_webapp=v1,22,2022-10-07 20:00:39.106019072,2022-10-07 20:00:39.106019072,,alexis (@urcitygurlbestie) TikTok | Watch alexis's Newest TikTok Videos,-3.2393172,43.629932,2.2239819,27.956173,-8.7116165
62,4320,619,0,typed,318760,1665261291621.676,Typing Test English - 10FastFingers.com,1665696702835.703,21,https://10fastfingers.com/typing-test/english,21,2022-10-08 20:34:51.621676032,2022-10-13 21:31:42.835702784,,Typing Test English - 10FastFingers.com,-2.9567525,6.516379,5.114307,-10.693782,-9.971933
63,5877,87615,317105,link,317112,1665169781716.501,in-tune / in-tune-dev overview - PlanetScale,1665169781716.501,0,https://app.planetscale.com/in-tune/in-tune/in-tune-dev,21,2022-10-07 19:09:41.716500992,2022-10-07 19:09:41.716500992,,in-tune / in-tune-dev overview - PlanetScale,38.520435,-16.393215,16.9458,-6.6187744,27.724108
